 fecha ,      ipc
22/10/2002,5979.57
23/10/2002,6000.62
24/10/2002,5908.07
25/10/2002,5905.58
28/10/2002,5887.29
29/10/2002,5893.76
30/10/2002,5963.83
31/10/2002,5967.73
01/11/2002,6045.16
04/11/2002,6058.9
05/11/2002,6040.17
06/11/2002,6064
07/11/2002,6009.93
08/11/2002,5988.53
11/11/2002,5891.79
12/11/2002,5865.11
13/11/2002,5813.36
14/11/2002,5898.06
15/11/2002,5819.09
18/11/2002,5726
19/11/2002,5641.74
21/11/2002,5859.05
22/11/2002,5818.43
25/11/2002,5861.82
26/11/2002,5922.41
27/11/2002,6129.25
28/11/2002,6158.49
29/11/2002,6156.83
02/12/2002,6223.59
03/12/2002,6221.68
04/12/2002,6187.67
05/12/2002,6152.01
06/12/2002,6126.23
09/12/2002,6053.75
10/12/2002,6081.52
11/12/2002,6135.39
13/12/2002,6114.2
16/12/2002,6185.95
17/12/2002,6166.13
18/12/2002,6089.66
19/12/2002,6120.46
20/12/2002,6130.83
23/12/2002,6153.22
24/12/2002,6151.48
26/12/2002,6182.91
27/12/2002,6126.24
30/12/2002,6124.51
31/12/2002,6127.09
02/01/2003,6225.4
03/01/2003,6253.34
06/01/2003,6333.46
07/01/2003,6279.28
08/01/2003,6266.48
09/01/2003,6329.96
10/01/2003,6353.03
13/01/2003,6364.64
14/01/2003,6407
15/01/2003,6398.9
16/01/2003,6331.99
17/01/2003,6204.46
20/01/2003,6161.12
21/01/2003,6092.13
22/01/2003,6024.09
23/01/2003,6054.44
24/01/2003,6012.56
27/01/2003,5923.33
28/01/2003,5919.7
29/01/2003,5937.97
30/01/2003,5870.51
31/01/2003,5954.35
03/02/2003,6031.81
04/02/2003,5968.46
06/02/2003,5894.27
07/02/2003,5866.03
10/02/2003,5837.89
11/02/2003,5779.45
12/02/2003,5763.87
13/02/2003,5791.39
14/02/2003,5774.39
17/02/2003,5829.87
18/02/2003,5880.01
19/02/2003,5857.35
20/02/2003,5880.9
21/02/2003,5956.97
24/02/2003,5913.68
25/02/2003,5869.21
26/02/2003,5869.79
27/02/2003,5900.02
28/02/2003,5927.06
03/03/2003,5926.65
04/03/2003,5911.24
05/03/2003,5914.41
06/03/2003,5913.92
07/03/2003,5907.93
10/03/2003,5859.77
11/03/2003,5821.1
12/03/2003,5809.97
13/03/2003,5931.96
14/03/2003,5993.01
17/03/2003,6009.92
18/03/2003,6042.76
19/03/2003,6017.43
20/03/2003,6048.41
24/03/2003,5924.34
25/03/2003,5937.99
26/03/2003,5952.38
27/03/2003,5951.34
28/03/2003,5947.48
31/03/2003,5914.03
01/04/2003,5895.76
02/04/2003,6008.51
03/04/2003,6034.74
04/04/2003,6158.97
07/04/2003,6257.13
08/04/2003,6259.46
09/04/2003,6212.14
10/04/2003,6154.02
11/04/2003,6175.22
14/04/2003,6232.74
15/04/2003,6333.59
16/04/2003,6306.6
21/04/2003,6326.65
22/04/2003,6373.91
23/04/2003,6385.11
24/04/2003,6384.7
25/04/2003,6333
28/04/2003,6428.2
29/04/2003,6499.69
30/04/2003,6509.88
02/05/2003,6590.92
05/05/2003,6608.18
06/05/2003,6614.68
07/05/2003,6575.29
08/05/2003,6408.62
09/05/2003,6488.49
12/05/2003,6496.43
13/05/2003,6491.89
14/05/2003,6549.79
15/05/2003,6633.51
16/05/2003,6556.91
19/05/2003,6469.18
20/05/2003,6388.49
21/05/2003,6410.82
22/05/2003,6510.89
23/05/2003,6586.92
26/05/2003,6545.78
27/05/2003,6650.31
28/05/2003,6667.35
29/05/2003,6647.71
30/05/2003,6699.18
02/06/2003,6722.24
03/06/2003,6738.97
04/06/2003,6889.76
05/06/2003,6873.39
06/06/2003,6870.6
09/06/2003,6801.59
10/06/2003,6924.99
11/06/2003,6979.68
12/06/2003,7060.5
13/06/2003,6984.63
16/06/2003,7019.49
17/06/2003,7130.23
18/06/2003,7125.41
19/06/2003,7084.01
20/06/2003,7080.69
23/06/2003,7015.08
24/06/2003,7114.4
25/06/2003,7078.36
26/06/2003,7118.47
27/06/2003,7083.45
30/06/2003,7054.99
01/07/2003,7123.54
02/07/2003,7164.02
